,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
m[1],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[2],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[3],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[4],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[5],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[6],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[7],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[8],11.161,1.683,7.706,14.101,0.025,0.019,4468.0,2870.0,1.0,NegativeBinomial
m[9],13.517,2.525,8.599,17.949,0.04,0.029,3977.0,2591.0,1.0,NegativeBinomial
m[10],9.982,1.346,7.318,12.52,0.02,0.015,4663.0,3427.0,1.0,NegativeBinomial
m[11],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[12],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[13],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[14],13.517,2.525,8.599,17.949,0.04,0.029,3977.0,2591.0,1.0,NegativeBinomial
m[15],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[16],7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
m[17],11.75,1.879,7.988,15.113,0.029,0.021,4319.0,2670.0,1.0,NegativeBinomial
