,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
m[30],13.941,1.267,11.535,16.442,0.021,0.015,3533.0,3176.0,1.0,Gamma
m[31],12.089,0.915,10.229,13.844,0.015,0.01,3984.0,3261.0,1.0,Gamma
m[32],10.854,0.732,9.434,12.329,0.012,0.008,4008.0,3185.0,1.0,Gamma
m[33],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[34],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[35],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[36],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[37],16.41,1.795,12.896,19.814,0.032,0.023,3174.0,2785.0,1.0,Gamma
m[38],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[39],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[40],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[41],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[42],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[43],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[44],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[45],7.767,0.723,6.463,9.279,0.015,0.011,2321.0,2515.0,1.0,Gamma
m[46],12.089,0.915,10.229,13.844,0.015,0.01,3984.0,3261.0,1.0,Gamma
m[47],12.089,0.915,10.229,13.844,0.015,0.01,3984.0,3261.0,1.0,Gamma
r,0.038,0.033,0.0,0.104,0.001,0.001,1023.0,1178.0,1.0,Weibull
a,1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
s,11.051,0.944,9.335,12.987,0.025,0.018,1394.0,1723.0,1.0,Weibull
e[0],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[1],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[2],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
